score,hand,handtype,score2
9.087,"[7, 8, 9]",0,162127.0
9.086,"[6, 8, 9]",0,159231.0
9.085,"[5, 8, 9]",0,156335.0
9.084,"[4, 8, 9]",0,153439.0
9.083,"[3, 8, 9]",0,150543.0
9.082,"[2, 8, 9]",0,147647.0
9.076,"[6, 7, 9]",0,144751.0
9.075000000000001,"[5, 7, 9]",0,141855.0
9.074,"[4, 7, 9]",0,138959.0
9.073,"[3, 7, 9]",0,136063.0
9.072000000000001,"[2, 7, 9]",0,133167.0
9.065000000000001,"[5, 6, 9]",0,130271.0
9.064,"[4, 6, 9]",0,127376.0
9.063,"[3, 6, 9]",0,124480.0
9.062000000000001,"[2, 6, 9]",0,121584.0
9.054,"[4, 5, 9]",0,118688.0
9.053,"[3, 5, 9]",0,115792.0
9.052000000000001,"[2, 5, 9]",0,112896.0
9.043,"[3, 4, 9]",0,110000.0
9.042,"[2, 4, 9]",0,107104.0
9.032,"[2, 3, 9]",0,104208.0
8.076,"[6, 7, 8]",0,101312.0
8.075000000000001,"[5, 7, 8]",0,98416.0
8.074,"[4, 7, 8]",0,95520.0
8.073,"[3, 7, 8]",0,92624.0
8.072000000000001,"[2, 7, 8]",0,89729.0
8.065000000000001,"[5, 6, 8]",0,86833.0
8.064,"[4, 6, 8]",0,83937.0
8.063,"[3, 6, 8]",0,81041.0
8.062000000000001,"[2, 6, 8]",0,78145.0
8.054,"[4, 5, 8]",0,75249.0
8.053,"[3, 5, 8]",0,72353.0
8.052000000000001,"[2, 5, 8]",0,69457.0
8.043,"[3, 4, 8]",0,66561.0
8.042,"[2, 4, 8]",0,63665.0
8.032,"[2, 3, 8]",0,60769.0
7.0649999999999995,"[5, 6, 7]",0,57873.0
7.063999999999999,"[4, 6, 7]",0,54977.0
7.063,"[3, 6, 7]",0,52081.0
7.061999999999999,"[2, 6, 7]",0,49186.0
7.053999999999999,"[4, 5, 7]",0,46290.0
7.053,"[3, 5, 7]",0,43394.0
7.052,"[2, 5, 7]",0,40498.0
