hand,value,handvalue,score
"('11D', '03S', '03D', '09S', '11S')",41.039,,947077.0
"('11D', '03S', '03D', '08H', '11S')",41.038000000000004,,947022.0
"('11D', '03S', '03D', '07D', '11S')",41.037,,946966.0
"('11D', '06C', '03S', '03D', '11S')",41.036,,946911.0
"('11D', '03S', '03D', '05S', '11S')",41.035000000000004,,946855.0
"('11D', '02D', '02C', '14S', '11S')",41.034000000000006,,946800.0
"('11D', '03S', '03D', '04C', '11S')",41.034,,946744.0
"('11D', '02D', '02C', '13S', '11S')",41.033,,946689.0
"('11D', '03S', '02D', '03D', '11S')",41.032000000000004,,946634.0
"('11D', '10D', '02D', '02C', '11S')",41.03,,946523.0
"('11D', '02D', '02C', '09S', '11S')",41.029,,946467.0
"('11D', '02D', '02C', '08H', '11S')",41.028000000000006,,946412.0
"('11D', '02D', '02C', '07D', '11S')",41.027,,946357.0
"('11D', '06C', '02D', '02C', '11S')",41.026,,946301.0
"('11D', '02D', '02C', '05S', '11S')",41.025000000000006,,946246.0
"('11D', '02D', '02C', '04C', '11S')",41.024,,946190.0
"('11D', '03S', '02D', '02C', '11S')",41.023,,946135.0
"('10D', '10C', '14S', '09S', '09D')",40.104000000000006,,946080.0
"('10D', '10C', '13S', '09S', '09D')",40.103,,946024.0
"('10D', '10C', '12D', '09S', '09D')",40.102000000000004,,945969.0
"('11D', '10D', '10C', '09S', '09D')",40.101000000000006,,945913.0
"('10D', '10C', '08H', '09S', '09D')",40.098000000000006,,945858.0
"('10D', '10C', '09S', '09D', '07D')",40.097,,945803.0
"('10D', '06C', '10C', '09S', '09D')",40.096000000000004,,945747.0
"('10D', '10C', '05S', '09S', '09D')",40.095000000000006,,945692.0
"('10D', '10C', '14S', '08H', '08D')",40.094,,945636.0
"('10D', '10C', '03S', '09S', '09D')",40.093,,945526.0
"('10D', '10C', '13S', '08H', '08D')",40.092999999999996,,945470.0
"('10D', '10C', '02D', '09S', '09D')",40.092000000000006,,945415.0
"('10D', '10C', '12D', '08H', '08D')",40.092,,945359.0
"('11D', '10D', '10C', '08H', '08D')",40.091,,945304.0
"('10D', '10C', '08H', '09S', '08D')",40.089,,945248.0
"('10D', '10C', '08H', '08D', '07D')",40.086999999999996,,945193.0
"('10D', '06C', '10C', '08H', '08D')",40.086,,945138.0
"('10D', '10C', '05S', '08H', '08D')",40.085,,945082.0
"('10D', '10C', '14S', '07D', '07S')",40.084,,945027.0
"('10D', '10C', '08H', '04C', '08D')",40.083999999999996,,944971.0
"('10D', '10C', '03S', '08H', '08D')",40.083,,944916.0
"('10D', '10C', '12D', '07D', '07S')",40.082,,944805.0
"('11D', '10D', '10C', '07D', '07S')",40.081,,944694.0
"('10D', '10C', '09S', '07D', '07S')",40.079,,944639.0
"('10D', '10C', '08H', '07D', '07S')",40.078,,944584.0
"('10D', '06C', '10C', '07D', '07S')",40.076,,944528.0
"('10D', '10C', '05S', '07D', '07S')",40.075,,944473.0
"('10D', '06C', '10C', '14S', '06H')",40.074000000000005,,944417.0
"('10D', '10C', '04C', '07D', '07S')",40.074,,944362.0
"('10D', '06C', '10C', '13S', '06H')",40.073,,944307.0
"('10D', '06C', '10C', '12D', '06H')",40.072,,944196.0
"('11D', '10D', '06C', '10C', '06H')",40.071000000000005,,944085.0
"('10D', '06C', '10C', '09S', '06H')",40.069,,944030.0
"('10D', '06C', '10C', '08H', '06H')",40.068000000000005,,943974.0
"('10D', '06C', '10C', '07D', '06H')",40.067,,943919.0
"('10D', '06C', '10C', '05S', '06H')",40.065000000000005,,943863.0
"('10D', '06C', '10C', '04C', '06H')",40.064,,943808.0
"('10D', '06C', '10C', '03S', '06H')",40.063,,943697.0
"('10D', '10C', '05S', '13S', '05D')",40.062999999999995,,943642.0
"('10D', '06C', '10C', '02D', '06H')",40.062000000000005,,943586.0
"('10D', '10C', '12D', '05S', '05D')",40.062,,943531.0
"('11D', '10D', '10C', '05S', '05D')",40.061,,943475.0
"('10D', '10C', '05S', '09S', '05D')",40.059,,943420.0
"('10D', '10C', '05S', '08H', '05D')",40.058,,943365.0
"('10D', '10C', '05S', '05D', '07D')",40.056999999999995,,943309.0
"('10D', '06C', '10C', '05S', '05D')",40.056,,943254.0
"('10D', '10C', '14S', '04C', '04D')",40.054,,943198.0
"('10D', '10C', '05S', '04C', '05D')",40.053999999999995,,943143.0
"('10D', '10C', '03S', '05S', '05D')",40.053,,943088.0
"('10D', '10C', '12D', '04C', '04D')",40.052,,942977.0
"('11D', '10D', '10C', '04C', '04D')",40.051,,942866.0
"('10D', '10C', '04C', '09S', '04D')",40.049,,942811.0
"('10D', '10C', '08H', '04C', '04D')",40.048,,942755.0
"('10D', '10C', '04C', '04D', '07D')",40.047,,942700.0
"('10D', '06C', '10C', '04C', '04D')",40.046,,942644.0
"('10D', '10C', '05S', '04C', '04D')",40.045,,942589.0
"('10D', '10C', '03S', '03D', '14S')",40.044000000000004,,942534.0
"('10D', '10C', '03S', '03D', '13S')",40.043,,942478.0
"('10D', '10C', '03S', '12D', '03D')",40.042,,942367.0
"('11D', '10D', '10C', '03S', '03D')",40.041000000000004,,942257.0
"('10D', '10C', '03S', '03D', '09S')",40.039,,942201.0
"('10D', '10C', '03S', '03D', '08H')",40.038000000000004,,942146.0
"('10D', '10C', '03S', '03D', '07D')",40.037,,942090.0
"('10D', '06C', '10C', '03S', '03D')",40.036,,942035.0
"('10D', '10C', '03S', '03D', '05S')",40.035000000000004,,941979.0
"('10D', '10C', '02D', '02C', '14S')",40.034000000000006,,941924.0
"('10D', '10C', '03S', '03D', '04C')",40.034,,941869.0
"('10D', '10C', '02D', '02C', '13S')",40.033,,941813.0
"('10D', '10C', '03S', '02D', '03D')",40.032000000000004,,941758.0
"('11D', '10D', '10C', '02D', '02C')",40.031000000000006,,941647.0
"('10D', '10C', '02D', '02C', '09S')",40.029,,941592.0
"('10D', '10C', '02D', '02C', '08H')",40.028000000000006,,941536.0
"('10D', '10C', '02D', '02C', '07D')",40.027,,941481.0
"('10D', '06C', '10C', '02D', '02C')",40.026,,941425.0
"('10D', '10C', '02D', '02C', '05S')",40.025000000000006,,941370.0
"('10D', '10C', '02D', '02C', '04C')",40.024,,941315.0
"('10D', '10C', '03S', '02D', '02C')",40.023,,941259.0
"('14S', '08H', '09S', '09D', '08D')",39.094,,941204.0
"('13S', '08H', '09S', '09D', '08D')",39.092999999999996,,941148.0
"('12D', '08H', '09S', '09D', '08D')",39.092,,941093.0
"('11D', '08H', '09S', '09D', '08D')",39.091,,941038.0
"('10D', '08H', '09S', '09D', '08D')",39.089999999999996,,940982.0
"('08H', '09S', '09D', '08D', '07D')",39.086999999999996,,940927.0
"('06C', '08H', '09S', '09D', '08D')",39.086,,940871.0
"('05S', '08H', '09S', '09D', '08D')",39.085,,940816.0
"('14S', '09S', '09D', '07D', '07S')",39.084,,940761.0
"('08H', '04C', '09S', '09D', '08D')",39.083999999999996,,940705.0
"('03S', '08H', '09S', '09D', '08D')",39.083,,940650.0
"('12D', '09S', '09D', '07D', '07S')",39.082,,940539.0
"('11D', '09S', '09D', '07D', '07S')",39.081,,940428.0
"('10D', '09S', '09D', '07D', '07S')",39.08,,940373.0
"('08H', '09S', '09D', '07D', '07S')",39.078,,940317.0
"('06C', '09S', '09D', '07D', '07S')",39.076,,940262.0
"('05S', '09S', '09D', '07D', '07S')",39.075,,940206.0
"('06C', '14S', '09S', '09D', '06H')",39.074000000000005,,940151.0
"('04C', '09S', '09D', '07D', '07S')",39.074,,940096.0
"('06C', '13S', '09S', '09D', '06H')",39.073,,940040.0
"('06C', '12D', '09S', '09D', '06H')",39.072,,939929.0
"('11D', '06C', '09S', '09D', '06H')",39.071000000000005,,939819.0
"('10D', '06C', '09S', '09D', '06H')",39.07,,939763.0
"('06C', '08H', '09S', '09D', '06H')",39.068000000000005,,939708.0
"('06C', '09S', '09D', '07D', '06H')",39.067,,939652.0
"('06C', '05S', '09S', '09D', '06H')",39.065000000000005,,939597.0
"('06C', '04C', '09S', '09D', '06H')",39.064,,939542.0
"('06C', '03S', '09S', '09D', '06H')",39.063,,939431.0
"('05S', '13S', '09S', '05D', '09D')",39.062999999999995,,939375.0
"('06C', '02D', '09S', '09D', '06H')",39.062000000000005,,939320.0
"('12D', '05S', '09S', '05D', '09D')",39.062,,939265.0
"('11D', '05S', '09S', '05D', '09D')",39.061,,939209.0
"('10D', '05S', '09S', '05D', '09D')",39.059999999999995,,939154.0
"('05S', '08H', '09S', '05D', '09D')",39.058,,939098.0
"('05S', '09S', '05D', '09D', '07D')",39.056999999999995,,939043.0
"('06C', '05S', '09S', '05D', '09D')",39.056,,938988.0
"('14S', '04C', '09S', '09D', '04D')",39.054,,938932.0
"('05S', '04C', '09S', '05D', '09D')",39.053999999999995,,938877.0
"('03S', '05S', '09S', '05D', '09D')",39.053,,938821.0
"('12D', '04C', '09S', '09D', '04D')",39.052,,938710.0
"('11D', '04C', '09S', '09D', '04D')",39.051,,938600.0
"('10D', '04C', '09S', '09D', '04D')",39.05,,938544.0
"('08H', '04C', '09S', '09D', '04D')",39.048,,938489.0
"('04C', '09S', '09D', '04D', '07D')",39.047,,938433.0
"('06C', '04C', '09S', '09D', '04D')",39.046,,938378.0
"('05S', '04C', '09S', '09D', '04D')",39.045,,938323.0
"('03S', '03D', '14S', '09S', '09D')",39.044000000000004,,938267.0
"('03S', '03D', '13S', '09S', '09D')",39.043,,938212.0
"('03S', '12D', '03D', '09S', '09D')",39.042,,938101.0
"('11D', '03S', '03D', '09S', '09D')",39.041000000000004,,937990.0
"('10D', '03S', '03D', '09S', '09D')",39.04,,937935.0
"('03S', '03D', '08H', '09S', '09D')",39.038000000000004,,937879.0
"('03S', '03D', '09S', '09D', '07D')",39.037,,937824.0
"('06C', '03S', '03D', '09S', '09D')",39.036,,937769.0
"('03S', '03D', '05S', '09S', '09D')",39.035000000000004,,937713.0
"('02D', '02C', '14S', '09S', '09D')",39.034000000000006,,937658.0
"('03S', '03D', '04C', '09S', '09D')",39.034,,937602.0
"('02D', '02C', '13S', '09S', '09D')",39.033,,937547.0
"('03S', '02D', '03D', '09S', '09D')",39.032000000000004,,937492.0
"('11D', '02D', '02C', '09S', '09D')",39.031000000000006,,937381.0
"('10D', '02D', '02C', '09S', '09D')",39.03,,937325.0
"('02D', '02C', '08H', '09S', '09D')",39.028000000000006,,937270.0
"('02D', '02C', '09S', '09D', '07D')",39.027,,937215.0
"('06C', '02D', '02C', '09S', '09D')",39.026,,937159.0
"('02D', '02C', '05S', '09S', '09D')",39.025000000000006,,937104.0
"('02D', '02C', '04C', '09S', '09D')",39.024,,937048.0
"('03S', '02D', '02C', '09S', '09D')",39.023,,936993.0
"('14S', '08H', '08D', '07D', '07S')",38.084,,936937.0
"('13S', '08H', '08D', '07D', '07S')",38.083,,936882.0
"('12D', '08H', '08D', '07D', '07S')",38.082,,936827.0
"('11D', '08H', '08D', '07D', '07S')",38.081,,936771.0
"('10D', '08H', '08D', '07D', '07S')",38.08,,936716.0
"('08H', '09S', '08D', '07D', '07S')",38.079,,936660.0
"('06C', '08H', '08D', '07D', '07S')",38.076,,936605.0
"('05S', '08H', '08D', '07D', '07S')",38.075,,936550.0
"('06C', '14S', '08H', '08D', '06H')",38.074000000000005,,936494.0
"('08H', '04C', '08D', '07D', '07S')",38.074,,936439.0
"('06C', '13S', '08H', '08D', '06H')",38.073,,936383.0
"('06C', '12D', '08H', '08D', '06H')",38.072,,936273.0
"('11D', '06C', '08H', '08D', '06H')",38.071000000000005,,936162.0
"('10D', '06C', '08H', '08D', '06H')",38.07,,936106.0
"('06C', '08H', '09S', '08D', '06H')",38.069,,936051.0
"('06C', '08H', '08D', '07D', '06H')",38.067,,935996.0
"('06C', '05S', '08H', '08D', '06H')",38.065000000000005,,935940.0
"('06C', '08H', '04C', '08D', '06H')",38.064,,935885.0
"('06C', '03S', '08H', '08D', '06H')",38.063,,935774.0
"('05S', '13S', '08H', '05D', '08D')",38.062999999999995,,935719.0
"('06C', '02D', '08H', '08D', '06H')",38.062000000000005,,935663.0
"('12D', '05S', '08H', '05D', '08D')",38.062,,935608.0
"('11D', '05S', '08H', '05D', '08D')",38.061,,935552.0
"('10D', '05S', '08H', '05D', '08D')",38.059999999999995,,935497.0
"('05S', '08H', '09S', '05D', '08D')",38.059,,935441.0
"('05S', '08H', '05D', '08D', '07D')",38.056999999999995,,935386.0
"('06C', '05S', '08H', '05D', '08D')",38.056,,935331.0
"('14S', '08H', '04C', '04D', '08D')",38.054,,935275.0
"('05S', '08H', '04C', '05D', '08D')",38.053999999999995,,935220.0
"('03S', '05S', '08H', '05D', '08D')",38.053,,935164.0
"('12D', '08H', '04C', '04D', '08D')",38.052,,935054.0
"('11D', '08H', '04C', '04D', '08D')",38.051,,934943.0
"('10D', '08H', '04C', '04D', '08D')",38.05,,934887.0
"('08H', '04C', '09S', '04D', '08D')",38.049,,934832.0
"('08H', '04C', '04D', '08D', '07D')",38.047,,934777.0
"('06C', '08H', '04C', '04D', '08D')",38.046,,934721.0
"('05S', '08H', '04C', '04D', '08D')",38.045,,934666.0
"('03S', '03D', '14S', '08H', '08D')",38.044000000000004,,934610.0
"('03S', '03D', '13S', '08H', '08D')",38.043,,934555.0
"('03S', '12D', '03D', '08H', '08D')",38.042,,934444.0
"('11D', '03S', '03D', '08H', '08D')",38.041000000000004,,934333.0
"('10D', '03S', '03D', '08H', '08D')",38.04,,934278.0
"('03S', '03D', '08H', '09S', '08D')",38.039,,934223.0
"('03S', '03D', '08H', '08D', '07D')",38.037,,934167.0
"('06C', '03S', '03D', '08H', '08D')",38.036,,934112.0
"('03S', '03D', '05S', '08H', '08D')",38.035000000000004,,934056.0
"('02D', '02C', '14S', '08H', '08D')",38.034000000000006,,934001.0
"('03S', '03D', '08H', '04C', '08D')",38.034,,933946.0
"('02D', '02C', '13S', '08H', '08D')",38.033,,933890.0
"('03S', '02D', '03D', '08H', '08D')",38.032000000000004,,933835.0
"('11D', '02D', '02C', '08H', '08D')",38.031000000000006,,933724.0
"('10D', '02D', '02C', '08H', '08D')",38.03,,933668.0
"('02D', '02C', '08H', '09S', '08D')",38.029,,933613.0
"('02D', '02C', '08H', '08D', '07D')",38.027,,933558.0
"('06C', '02D', '02C', '08H', '08D')",38.026,,933502.0
"('02D', '02C', '05S', '08H', '08D')",38.025000000000006,,933447.0
"('02D', '02C', '08H', '04C', '08D')",38.024,,933391.0
"('03S', '02D', '02C', '08H', '08D')",38.023,,933336.0
"('06C', '14S', '07D', '06H', '07S')",37.074000000000005,,933281.0
"('06C', '13S', '07D', '06H', '07S')",37.073,,933225.0
"('06C', '12D', '07D', '06H', '07S')",37.072,,933170.0
"('11D', '06C', '07D', '06H', '07S')",37.071000000000005,,933114.0
"('10D', '06C', '07D', '06H', '07S')",37.07,,933059.0
"('06C', '09S', '07D', '06H', '07S')",37.069,,933004.0
"('06C', '08H', '07D', '06H', '07S')",37.068000000000005,,932948.0
"('06C', '05S', '07D', '06H', '07S')",37.065000000000005,,932893.0
"('06C', '04C', '07D', '06H', '07S')",37.064,,932837.0
"('06C', '03S', '07D', '06H', '07S')",37.063,,932727.0
"('05S', '13S', '05D', '07D', '07S')",37.062999999999995,,932671.0
"('06C', '02D', '07D', '06H', '07S')",37.062000000000005,,932616.0
"('12D', '05S', '05D', '07D', '07S')",37.062,,932560.0
"('11D', '05S', '05D', '07D', '07S')",37.061,,932505.0
"('10D', '05S', '05D', '07D', '07S')",37.059999999999995,,932450.0
"('05S', '09S', '05D', '07D', '07S')",37.059,,932394.0
"('05S', '08H', '05D', '07D', '07S')",37.058,,932339.0
"('06C', '05S', '05D', '07D', '07S')",37.056,,932283.0
"('14S', '04C', '04D', '07D', '07S')",37.054,,932228.0
"('05S', '04C', '05D', '07D', '07S')",37.053999999999995,,932172.0
"('03S', '05S', '05D', '07D', '07S')",37.053,,932117.0
"('12D', '04C', '04D', '07D', '07S')",37.052,,932006.0
"('11D', '04C', '04D', '07D', '07S')",37.051,,931895.0
"('10D', '04C', '04D', '07D', '07S')",37.05,,931840.0
"('04C', '09S', '04D', '07D', '07S')",37.049,,931785.0
"('08H', '04C', '04D', '07D', '07S')",37.048,,931729.0
"('06C', '04C', '04D', '07D', '07S')",37.046,,931674.0
"('05S', '04C', '04D', '07D', '07S')",37.045,,931618.0
"('03S', '03D', '14S', '07D', '07S')",37.044000000000004,,931563.0
"('03S', '03D', '13S', '07D', '07S')",37.043,,931508.0
"('03S', '12D', '03D', '07D', '07S')",37.042,,931397.0
"('11D', '03S', '03D', '07D', '07S')",37.041000000000004,,931286.0
"('10D', '03S', '03D', '07D', '07S')",37.04,,931231.0
"('03S', '03D', '09S', '07D', '07S')",37.039,,931175.0
"('03S', '03D', '08H', '07D', '07S')",37.038000000000004,,931120.0
"('06C', '03S', '03D', '07D', '07S')",37.036,,931064.0
"('03S', '03D', '05S', '07D', '07S')",37.035000000000004,,931009.0
"('02D', '02C', '14S', '07D', '07S')",37.034000000000006,,930954.0
"('03S', '03D', '04C', '07D', '07S')",37.034,,930898.0
"('02D', '02C', '13S', '07D', '07S')",37.033,,930843.0
"('03S', '02D', '03D', '07D', '07S')",37.032000000000004,,930787.0
"('11D', '02D', '02C', '07D', '07S')",37.031000000000006,,930677.0
"('10D', '02D', '02C', '07D', '07S')",37.03,,930621.0
"('02D', '02C', '09S', '07D', '07S')",37.029,,930566.0
"('02D', '02C', '08H', '07D', '07S')",37.028000000000006,,930510.0
"('06C', '02D', '02C', '07D', '07S')",37.026,,930455.0
"('02D', '02C', '05S', '07D', '07S')",37.025000000000006,,930399.0
"('02D', '02C', '04C', '07D', '07S')",37.024,,930344.0
"('03S', '02D', '02C', '07D', '07S')",37.023,,930289.0
"('06C', '05S', '14S', '05D', '06H')",36.064,,930233.0
"('06C', '05S', '13S', '05D', '06H')",36.062999999999995,,930178.0
"('06C', '12D', '05S', '05D', '06H')",36.062,,930122.0
"('11D', '06C', '05S', '05D', '06H')",36.061,,930067.0
"('10D', '06C', '05S', '05D', '06H')",36.059999999999995,,930012.0
"('06C', '05S', '09S', '05D', '06H')",36.059,,929956.0
"('06C', '05S', '08H', '05D', '06H')",36.058,,929901.0
"('06C', '05S', '05D', '07D', '06H')",36.056999999999995,,929845.0
"('06C', '14S', '04C', '04D', '06H')",36.054,,929790.0
"('06C', '05S', '04C', '05D', '06H')",36.053999999999995,,929735.0
"('06C', '03S', '05S', '05D', '06H')",36.053,,929679.0
"('06C', '12D', '04C', '04D', '06H')",36.052,,929568.0
"('11D', '06C', '04C', '04D', '06H')",36.051,,929458.0
"('10D', '06C', '04C', '04D', '06H')",36.05,,929402.0
"('06C', '04C', '09S', '04D', '06H')",36.049,,929347.0
"('06C', '08H', '04C', '04D', '06H')",36.048,,929291.0
"('06C', '04C', '04D', '07D', '06H')",36.047,,929236.0
"('06C', '05S', '04C', '04D', '06H')",36.045,,929181.0
"('06C', '03S', '03D', '14S', '06H')",36.044000000000004,,929125.0
"('06C', '03S', '03D', '13S', '06H')",36.043,,929070.0
"('06C', '03S', '12D', '03D', '06H')",36.042,,928959.0
"('11D', '06C', '03S', '03D', '06H')",36.041000000000004,,928848.0
"('10D', '06C', '03S', '03D', '06H')",36.04,,928793.0
"('06C', '03S', '03D', '09S', '06H')",36.039,,928737.0
"('06C', '03S', '03D', '08H', '06H')",36.038000000000004,,928682.0
"('06C', '03S', '03D', '07D', '06H')",36.037,,928626.0
"('06C', '03S', '03D', '05S', '06H')",36.035000000000004,,928571.0
"('06C', '02D', '02C', '14S', '06H')",36.034000000000006,,928516.0
"('06C', '03S', '03D', '04C', '06H')",36.034,,928460.0
"('06C', '02D', '02C', '13S', '06H')",36.033,,928405.0
"('06C', '03S', '02D', '03D', '06H')",36.032000000000004,,928349.0
"('11D', '06C', '02D', '02C', '06H')",36.031000000000006,,928239.0
"('10D', '06C', '02D', '02C', '06H')",36.03,,928183.0
"('06C', '02D', '02C', '09S', '06H')",36.029,,928128.0
"('06C', '02D', '02C', '08H', '06H')",36.028000000000006,,928072.0
"('06C', '02D', '02C', '07D', '06H')",36.027,,928017.0
"('06C', '02D', '02C', '05S', '06H')",36.025000000000006,,927962.0
"('06C', '02D', '02C', '04C', '06H')",36.024,,927906.0
"('06C', '03S', '02D', '02C', '06H')",36.023,,927851.0
"('05S', '14S', '04C', '05D', '04D')",35.054,,927795.0
"('05S', '13S', '04C', '05D', '04D')",35.053,,927740.0
"('12D', '05S', '04C', '05D', '04D')",35.052,,927685.0
"('11D', '05S', '04C', '05D', '04D')",35.051,,927629.0
"('10D', '05S', '04C', '05D', '04D')",35.05,,927574.0
"('05S', '04C', '09S', '05D', '04D')",35.049,,927518.0
"('05S', '08H', '04C', '05D', '04D')",35.048,,927463.0
"('05S', '04C', '05D', '04D', '07D')",35.047,,927408.0
"('06C', '05S', '04C', '05D', '04D')",35.046,,927352.0
"('03S', '03D', '05S', '14S', '05D')",35.044000000000004,,927297.0
"('03S', '03D', '05S', '13S', '05D')",35.043,,927241.0
"('03S', '12D', '03D', '05S', '05D')",35.042,,927130.0
"('11D', '03S', '03D', '05S', '05D')",35.041000000000004,,927020.0
"('10D', '03S', '03D', '05S', '05D')",35.04,,926964.0
"('03S', '03D', '05S', '09S', '05D')",35.039,,926909.0
"('03S', '03D', '05S', '08H', '05D')",35.038000000000004,,926853.0
"('03S', '03D', '05S', '05D', '07D')",35.037,,926798.0
"('06C', '03S', '03D', '05S', '05D')",35.036,,926743.0
"('02D', '02C', '05S', '14S', '05D')",35.034000000000006,,926687.0
"('03S', '03D', '05S', '04C', '05D')",35.034,,926632.0
"('02D', '02C', '05S', '13S', '05D')",35.033,,926576.0
"('03S', '02D', '03D', '05S', '05D')",35.032000000000004,,926521.0
"('11D', '02D', '02C', '05S', '05D')",35.031000000000006,,926410.0
"('10D', '02D', '02C', '05S', '05D')",35.03,,926355.0
"('02D', '02C', '05S', '09S', '05D')",35.029,,926299.0
"('02D', '02C', '05S', '08H', '05D')",35.028000000000006,,926244.0
"('02D', '02C', '05S', '05D', '07D')",35.027,,926189.0
"('06C', '02D', '02C', '05S', '05D')",35.026,,926133.0
"('02D', '02C', '05S', '04C', '05D')",35.024,,926078.0
"('03S', '02D', '02C', '05S', '05D')",35.023,,926022.0
"('03S', '03D', '14S', '04C', '04D')",34.044000000000004,,925967.0
"('03S', '03D', '13S', '04C', '04D')",34.043,,925912.0
"('03S', '12D', '03D', '04C', '04D')",34.042,,925856.0
"('11D', '03S', '03D', '04C', '04D')",34.041000000000004,,925801.0
"('10D', '03S', '03D', '04C', '04D')",34.04,,925745.0
"('03S', '03D', '04C', '09S', '04D')",34.039,,925690.0
"('03S', '03D', '08H', '04C', '04D')",34.038000000000004,,925634.0
"('03S', '03D', '04C', '04D', '07D')",34.037,,925579.0
"('06C', '03S', '03D', '04C', '04D')",34.036,,925524.0
"('03S', '03D', '05S', '04C', '04D')",34.035000000000004,,925468.0
"('02D', '02C', '14S', '04C', '04D')",34.034000000000006,,925413.0
"('02D', '02C', '13S', '04C', '04D')",34.033,,925357.0
"('03S', '02D', '03D', '04C', '04D')",34.032000000000004,,925302.0
"('11D', '02D', '02C', '04C', '04D')",34.031000000000006,,925191.0
"('10D', '02D', '02C', '04C', '04D')",34.03,,925136.0
"('02D', '02C', '04C', '09S', '04D')",34.029,,925080.0
"('02D', '02C', '08H', '04C', '04D')",34.028000000000006,,925025.0
"('02D', '02C', '04C', '04D', '07D')",34.027,,924970.0
"('06C', '02D', '02C', '04C', '04D')",34.026,,924914.0
"('02D', '02C', '05S', '04C', '04D')",34.025000000000006,,924859.0
"('03S', '02D', '02C', '04C', '04D')",34.023,,924803.0
"('03S', '02D', '03D', '02C', '14S')",33.034000000000006,,924748.0
"('03S', '02D', '03D', '02C', '13S')",33.033,,924693.0
"('03S', '12D', '02D', '03D', '02C')",33.032000000000004,,924637.0
"('11D', '03S', '02D', '03D', '02C')",33.031000000000006,,924582.0
"('10D', '03S', '02D', '03D', '02C')",33.03,,924526.0
"('03S', '02D', '03D', '02C', '09S')",33.029,,924471.0
"('03S', '02D', '03D', '02C', '08H')",33.028000000000006,,924416.0
"('03S', '02D', '03D', '02C', '07D')",33.027,,924360.0
"('06C', '03S', '02D', '03D', '02C')",33.026,,924305.0
"('03S', '02D', '03D', '02C', '05S')",33.025000000000006,,924249.0
"('03S', '02D', '03D', '02C', '04C')",33.024,,924194.0
"('11D', '12D', '14S', '13S', '14H')",29.1431,,924139.0
"('10D', '12D', '14S', '13S', '14H')",29.143,,923991.0
"('12D', '14S', '13S', '14H', '09S')",29.1429,,923843.0
"('12D', '14S', '13S', '14H', '08H')",29.1428,,923695.0
"('12D', '14S', '13S', '14H', '07D')",29.142699999999998,,923547.0
"('06C', '12D', '14S', '13S', '14H')",29.142599999999998,,923400.0
"('12D', '05S', '14S', '13S', '14H')",29.1425,,923252.0
"('12D', '14S', '13S', '14H', '04C')",29.1424,,923104.0
"('03S', '12D', '14S', '13S', '14H')",29.1423,,922956.0
"('12D', '02D', '14S', '13S', '14H')",29.1422,,922809.0
"('11D', '10D', '14S', '13S', '14H')",29.142,,922661.0
"('11D', '14S', '13S', '14H', '09S')",29.1419,,922513.0
"('11D', '14S', '13S', '14H', '08H')",29.1418,,922365.0
"('11D', '14S', '13S', '14H', '07D')",29.141699999999997,,922218.0
"('11D', '06C', '14S', '13S', '14H')",29.141599999999997,,922070.0
"('11D', '05S', '14S', '13S', '14H')",29.141499999999997,,921922.0
"('11D', '14S', '13S', '14H', '04C')",29.141399999999997,,921774.0
"('11D', '03S', '14S', '13S', '14H')",29.141299999999998,,921627.0
"('11D', '02D', '14S', '13S', '14H')",29.141199999999998,,921479.0
"('10D', '14S', '13S', '14H', '09S')",29.140900000000002,,921331.0
"('10D', '14S', '13S', '14H', '08H')",29.140800000000002,,921183.0
"('10D', '14S', '13S', '14H', '07D')",29.1407,,921036.0
"('10D', '06C', '14S', '13S', '14H')",29.1406,,920888.0
"('10D', '05S', '14S', '13S', '14H')",29.1405,,920740.0
"('10D', '14S', '13S', '14H', '04C')",29.1404,,920592.0
"('10D', '03S', '14S', '13S', '14H')",29.1403,,920445.0
"('10D', '02D', '14S', '13S', '14H')",29.1402,,920297.0
"('14S', '13S', '14H', '08H', '09S')",29.1398,,920149.0
"('14S', '13S', '14H', '09S', '07D')",29.139699999999998,,920001.0
"('06C', '14S', '13S', '14H', '09S')",29.139599999999998,,919854.0
"('05S', '14S', '13S', '14H', '09S')",29.139499999999998,,919706.0
"('14S', '13S', '14H', '04C', '09S')",29.1394,,919558.0
"('03S', '14S', '13S', '14H', '09S')",29.1393,,919410.0
"('02D', '14S', '13S', '14H', '09S')",29.1392,,919263.0
"('14S', '13S', '14H', '08H', '07D')",29.138699999999996,,919115.0
"('06C', '14S', '13S', '14H', '08H')",29.138599999999997,,918967.0
"('05S', '14S', '13S', '14H', '08H')",29.138499999999997,,918819.0
"('14S', '13S', '14H', '08H', '04C')",29.138399999999997,,918672.0
"('03S', '14S', '13S', '14H', '08H')",29.138299999999997,,918524.0
"('02D', '14S', '13S', '14H', '08H')",29.138199999999998,,918376.0
"('06C', '14S', '13S', '14H', '07D')",29.1376,,918228.0
"('05S', '14S', '13S', '14H', '07D')",29.1375,,918081.0
"('14S', '13S', '14H', '04C', '07D')",29.1374,,917933.0
"('03S', '14S', '13S', '14H', '07D')",29.1373,,917785.0
"('02D', '14S', '13S', '14H', '07D')",29.1372,,917637.0
"('06C', '05S', '14S', '13S', '14H')",29.136499999999998,,917490.0
"('06C', '14S', '13S', '14H', '04C')",29.1364,,917342.0
"('06C', '03S', '14S', '13S', '14H')",29.1363,,917194.0
"('06C', '02D', '14S', '13S', '14H')",29.1362,,917046.0
