hand,value,handvalue,score
"('12C', '10D', '09C')",12.109,0.0,451719.0
"('12C', '08C', '10D')",12.107999999999999,0.0,448824.0
"('12C', '07H', '10D')",12.107,0.0,445928.0
"('12C', '06C', '10D')",12.106,0.0,443032.0
"('12C', '10D', '05H')",12.105,0.0,440136.0
"('12C', '04H', '10D')",12.104,0.0,437240.0
"('12C', '10D', '03D')",12.103,0.0,434344.0
"('12C', '10D', '02C')",12.102,0.0,431448.0
"('12C', '08C', '09C')",12.097999999999999,0.0,428552.0
"('12C', '07H', '09C')",12.097,0.0,425656.0
"('12C', '06C', '09C')",12.096,0.0,422760.0
"('12C', '05H', '09C')",12.095,0.0,419864.0
"('12C', '04H', '09C')",12.094,0.0,416968.0
"('12C', '03D', '09C')",12.093,0.0,414072.0
"('12C', '02C', '09C')",12.092,0.0,411176.0
"('12C', '07H', '08C')",12.087,0.0,408281.0
"('12C', '06C', '08C')",12.086,0.0,405385.0
"('12C', '08C', '05H')",12.085,0.0,402489.0
"('12C', '04H', '08C')",12.084,0.0,399593.0
"('12C', '08C', '03D')",12.083,0.0,396697.0
"('12C', '08C', '02C')",12.082,0.0,393801.0
"('12C', '07H', '06C')",12.076,0.0,390905.0
"('12C', '07H', '05H')",12.075000000000001,0.0,388009.0
"('12C', '07H', '04H')",12.074,0.0,385113.0
"('12C', '07H', '03D')",12.073,0.0,382217.0
"('12C', '07H', '02C')",12.072000000000001,0.0,379321.0
"('12C', '06C', '05H')",12.065000000000001,0.0,376425.0
"('12C', '06C', '04H')",12.064,0.0,373529.0
"('12C', '06C', '03D')",12.063,0.0,370633.0
"('12C', '06C', '02C')",12.062000000000001,0.0,367738.0
"('12C', '04H', '05H')",12.054,0.0,364842.0
"('12C', '05H', '03D')",12.053,0.0,361946.0
"('12C', '02C', '05H')",12.052000000000001,0.0,359050.0
"('12C', '04H', '03D')",12.043,0.0,356154.0
"('12C', '04H', '02C')",12.042,0.0,353258.0
"('12C', '02C', '03D')",12.032,0.0,350362.0
"('11H', '10D', '09C')",11.109,4.0,347466.0
"('11H', '08C', '10D')",11.107999999999999,0.0,344570.0
"('07H', '11H', '10D')",11.107,0.0,341674.0
"('06C', '11H', '10D')",11.106,0.0,338778.0
"('11H', '10D', '05H')",11.105,0.0,335882.0
"('04H', '11H', '10D')",11.104,0.0,332986.0
"('11H', '10D', '03D')",11.103,0.0,330090.0
"('11H', '10D', '02C')",11.102,0.0,327195.0
"('11H', '08C', '09C')",11.097999999999999,0.0,324299.0
"('07H', '11H', '09C')",11.097,0.0,321403.0
"('06C', '11H', '09C')",11.096,0.0,318507.0
"('11H', '05H', '09C')",11.095,0.0,315611.0
"('04H', '11H', '09C')",11.094,0.0,312715.0
"('11H', '03D', '09C')",11.093,0.0,309819.0
"('11H', '02C', '09C')",11.092,0.0,306923.0
"('07H', '11H', '08C')",11.087,0.0,304027.0
"('06C', '11H', '08C')",11.086,0.0,301131.0
"('11H', '08C', '05H')",11.085,0.0,298235.0
"('04H', '11H', '08C')",11.084,0.0,295339.0
"('11H', '08C', '03D')",11.083,0.0,292443.0
"('11H', '08C', '02C')",11.082,0.0,289548.0
"('07H', '06C', '11H')",11.076,0.0,286652.0
"('07H', '11H', '05H')",11.075000000000001,0.0,283756.0
"('07H', '04H', '11H')",11.074,0.0,280860.0
"('07H', '11H', '03D')",11.073,0.0,277964.0
"('07H', '11H', '02C')",11.072000000000001,0.0,275068.0
"('06C', '11H', '05H')",11.065000000000001,0.0,272172.0
"('06C', '04H', '11H')",11.064,0.0,269276.0
"('06C', '11H', '03D')",11.063,0.0,266380.0
"('06C', '11H', '02C')",11.062000000000001,0.0,263484.0
"('04H', '11H', '05H')",11.054,0.0,260588.0
"('11H', '05H', '03D')",11.053,0.0,257692.0
"('11H', '02C', '05H')",11.052000000000001,0.0,254796.0
"('04H', '11H', '03D')",11.043,0.0,251900.0
"('04H', '11H', '02C')",11.042,0.0,249005.0
"('11H', '02C', '03D')",11.032,0.0,246109.0
"('08C', '10D', '09C')",10.097999999999999,4.0,243213.0
"('07H', '10D', '09C')",10.097,0.0,240317.0
"('06C', '10D', '09C')",10.096,0.0,237421.0
"('10D', '05H', '09C')",10.095,0.0,234525.0
"('04H', '10D', '09C')",10.094,0.0,231629.0
"('10D', '03D', '09C')",10.093,0.0,228733.0
"('10D', '02C', '09C')",10.092,0.0,225837.0
"('07H', '08C', '10D')",10.087,0.0,222941.0
"('06C', '08C', '10D')",10.086,0.0,220045.0
"('08C', '10D', '05H')",10.085,0.0,217149.0
"('04H', '08C', '10D')",10.084,0.0,214253.0
"('08C', '10D', '03D')",10.083,0.0,211357.0
"('08C', '10D', '02C')",10.082,0.0,208462.0
"('07H', '06C', '10D')",10.076,0.0,205566.0
"('07H', '10D', '05H')",10.075000000000001,0.0,202670.0
"('07H', '04H', '10D')",10.074,0.0,199774.0
"('07H', '10D', '03D')",10.073,0.0,196878.0
"('07H', '10D', '02C')",10.072000000000001,0.0,193982.0
"('06C', '10D', '05H')",10.065000000000001,0.0,191086.0
"('06C', '04H', '10D')",10.064,0.0,188190.0
"('06C', '10D', '03D')",10.063,0.0,185294.0
"('06C', '10D', '02C')",10.062000000000001,0.0,182398.0
"('04H', '10D', '05H')",10.054,0.0,179502.0
"('10D', '05H', '03D')",10.053,0.0,176606.0
"('10D', '02C', '05H')",10.052000000000001,0.0,173710.0
"('04H', '10D', '03D')",10.043,0.0,170814.0
"('04H', '10D', '02C')",10.042,0.0,167919.0
"('10D', '02C', '03D')",10.032,0.0,165023.0
"('07H', '08C', '09C')",9.087,4.0,162127.0
"('06C', '08C', '09C')",9.086,0.0,159231.0
"('08C', '05H', '09C')",9.085,0.0,156335.0
"('04H', '08C', '09C')",9.084,0.0,153439.0
"('08C', '03D', '09C')",9.083,0.0,150543.0
"('08C', '02C', '09C')",9.082,0.0,147647.0
"('07H', '06C', '09C')",9.076,0.0,144751.0
"('07H', '05H', '09C')",9.075000000000001,0.0,141855.0
"('07H', '04H', '09C')",9.074,0.0,138959.0
